Day,Precip,Year,Month
7,0.48,2022,Aug
8,0.31,2022,Aug
9,0.03,2017,Aug
10,0.01,2022,Aug
11,0.2,2017,Aug
12,0.51,2019,Aug
13,0.25,2022,Aug
14,0.32,2021,Aug
15,0.14,2019,Aug
16,0.1,2017,Aug
17,0.12,2017,Aug
18,0.12,2017,Aug
19,0.8,2016,Aug
20,0.1,2016,Aug
21,0.21,2016,Aug
22,0.12,2017,Aug
23,0.11,2017,Aug
24,0.13,2018,Aug
25,0.32,2022,Aug
26,0.26,2021,Aug
27,0.08,2021,Aug
28,0.62,2021,Aug
29,0.67,2021,Aug
30,0.01,2021,Aug
31,0.06,2022,Aug
1,0.27,2020,Sep
2,0.23,2020,Sep
3,0.44,2021,Sep
4,0.05,2019,Sep
5,0.15,2019,Sep
6,0.24,2019,Sep
7,0.11,2017,Sep
8,0.1,2019,Sep
9,0.03,2019,Sep
10,0.19,2017,Sep
11,0.18,2021,Sep
12,0.67,2017,Sep
13,0.32,2017,Sep
14,0.08,2020,Sep
15,0.19,2020,Sep
16,0.09,2022,Sep
17,0.18,2022,Sep
18,0.36,2022,Sep
19,0.31,2016,Sep
20,0.08,2021,Sep
21,0.61,2016,Sep
22,T,2019,Sep
23,0.36,2019,Sep
24,0.08,2022,Sep
25,0.44,2021,Sep
26,0.19,2021,Sep
27,0.19,2019,Sep
28,0.27,2016,Sep
29,0.54,2019,Sep
30,0.05,2019,Sep
31,-,-,Sep
1,0.01,2020,Oct
2,0.11,2019,Oct
3,0.26,2017,Oct
4,0.41,2019,Oct
5,0.18,2020,Oct
6,0.15,2022,Oct
7,0.17,2022,Oct
8,0.16,2019,Oct
9,0.14,2017,Oct
10,0.13,2022,Oct
11,0.26,2022,Oct
12,0.47,2017,Oct
13,0.03,2022,Oct
14,0.04,2017,Oct
15,0.04,2020,Oct
16,0.28,2018,Oct
17,0.19,2018,Oct
18,0.01,2022,Oct
19,0.08,2017,Oct
20,0.04,2022,Oct
21,0.15,2020,Oct
22,0.05,2022,Oct
23,0.09,2022,Oct
24,0.13,2022,Oct
25,0.09,2017,Oct
26,0.16,2017,Oct
27,0.29,2019,Oct
28,0.13,2021,Oct
29,0.14,2019,Oct
30,0.18,2020,Oct
31,0.15,2021,Oct
1,T,2018,Nov
2,0.03,2017,Nov
3,0.16,2022,Nov
4,0.06,2020,Nov
5,0.33,2021,Nov
6,0.08,2018,Nov
7,0.16,2022,Nov
8,0.03,2017,Nov
9,0.08,2020,Nov
10,0.11,2020,Nov
11,0.14,2017,Nov
12,0.02,2017,Nov
13,T,2016,Nov
14,0.04,2016,Nov
15,0.07,2017,Nov
16,0.08,2020,Nov
17,0.03,2022,Nov
18,0.06,2017,Nov
19,0.2,2017,Nov
20,0.1,2022,Nov
21,0.78,2017,Nov
22,0.11,2017,Nov
23,0.6,2017,Nov
24,0.3,2020,Nov
25,0.22,2017,Nov
26,0.47,2019,Nov
27,0,2022,Nov
28,0.1,2018,Nov
29,0.04,2018,Nov
30,0.21,2022,Nov
31,-,-,Nov
1,0.04,2018,Dec
2,0.58,2022,Dec
3,0.24,2021,Dec
4,0.23,2020,Dec
5,0.34,2021,Dec
6,0.11,2022,Dec
7,0.11,2019,Dec
8,0.05,2018,Dec
9,0.24,2020,Dec
10,0.13,2022,Dec
11,0.32,2022,Dec
12,0.03,2017,Dec
13,0.09,2017,Dec
14,0.07,2020,Dec
15,0.06,2021,Dec
16,0.2,2021,Dec
17,0.05,2021,Dec
18,0.6,2017,Dec
19,0.33,2021,Dec
20,0.02,2017,Dec
21,0.12,2020,Dec
22,0.32,2020,Dec
23,0.01,2016,Dec
24,0.06,2020,Dec
25,0.07,2021,Dec
26,0.18,2021,Dec
27,0.11,2016,Dec
28,0.43,2021,Dec
29,0.47,2021,Dec
30,0.05,2016,Dec
31,0.17,2018,Dec
