,For all sample types
Soil Temperature:,Soil temperatures were measured frequently through the summer months using a thermometer at 5 and 10 cm soil depths. 
Purpose for Measurement,"Weather the temperature was taken during soil sampling, pore water collection or resin strip collection. "
Temp. @  5 cm Deg. C,Temperature at 5 cm in degrees C
Temp. @ 10 cm Deg. C,Temperature at 10 cm in degrees C
,
,"Analytical methods: All analytical methods use standard curves with the same matrix as the samples they are being compared against (Either water, 0.5 M potassium sulfate, or 2 M potassium chloride). All curves are made starting with HPLC water. All wavelengths are read on the Bio-Tek Synergy HT microplate reader (Bio-Tek Inc., Winooski, VT, USA) using the software package GEN5. "
Nitrate,"Nitrate concentrations were determined in all extractions and pore water using a colorimetric based microplate assay. In short, 100 無 of sample was pipetted in triplicate with 100 無 working reagent (combination of sulfanilamide,N-(1-naphthyl)-ethylenediamine dihydrochloride, and Vanadium (III) Chloride) , incubated for 4 hours, and then read on the plate reader at a wavelength of 540nm. Two main curves are used in this assay a high curve 0-5 ppm-N and a low curve 0-2 ppm-N. (Doane, T.A. and W.R. Horw嫢h, Spectrophotometric determination of nitrate with a single reagent. Analytical Letters, 2003. 36(12): p. 2713-2722.)"
Ammonium,"Ammonium concentrations were determined in all extractions and pore water using a colorimetric based microplate assay. In short, 70 無 of sample was pipetted in triplicate with 50 無 trisodium citrate ,then after a minute add 50 無 2-hydroxybiphenyl sodium tetrahydrate + sodium nitroprusside dihydrate  ,25 無 tribasic sodium phosphate + sodium hypochlorite + sodium hydroxide, and then 50 無 water  , incubated for 2 hours, and then read on the plate reader at a wavelength of 660nm. Two main curves are used in this assay a high curve 0-5 ppm-N and a low curve 0-2 ppm-N. (Rhine, E., et al., Improving the Berthelot reaction for determining ammonium in soil extracts and water. Soil Science Society of America Journal, 1998. 62(2): p. 473-480.)"
Phosphate,"Phosphate concentrations were determined in all extractions and pore water using a colorimetric based microplate assay. In short, 150 無 of sample was pipetted in triplicate with 30 無 acidic ammonium para-molybdate, then after 10 minutes add 30 無 Malachite green +polyvinyl alcohol , incubated for 0.5 hours, and then read on the plate reader at a wavelength of 630nm. The curve ranges from 0-1 ppm-P. (D'Angelo, E., J. Crutchfield, and M. Vandiviere, Rapid, sensitive, microscale determination of phosphate in water and soil. Journal of environmental quality, 2001. 30(6): p. 2206-2209.)"
Total free primary amine (TFPA),"TFPA concentrations were determined in all extractions and pore water using a Fluorometric based microplate assay. In short, 50 無 of sample was pipetted in triplicate with 100 無 working reagent (potassium tetraborate + sodium hydroxide, o-phthaldialdehyde + ?-mercaptoethanol ), incubated for 1 hours, and then read on the plate reader at excitation 360 nm and emission of 460 nm. The curve ranges from 0-20 然 leucine. (Jones, D.L., A.G. Owen, and J.F. Farrar, Simple method to enable the high resolution determination of total free amino acids in soil solutions and soil extracts. Soil Biology and Biochemistry, 2002. 34(12): p. 1893-1902.;Darrouzet-Nardi, A., M.P. Ladd, and M.N. Weintraub, Fluorescent microplate analysis of amino acids and other primary amines in soils. Soil Biology and Biochemistry, 2013. 57: p. 78-82.)"
Total reducing sugars (TRS),"Total reducing sugar concentrations were determined in all extractions and pore water using a colorimetric based microplate assay. In short, 25 無 of sample was pipetted in quadruplicate with 125無 working reagent (para-hydroxybenzoic acid hydrazide dissolved in hydrochloric acid and trisodium citrate + calcium chloride + Sodium hydroxide) , incubated at 100 蚓  for 5 minutes, and then in an ice bath for another 5 minutes. Then read on  the plate reader at a wavelength of 410 nm. Two main curves are used in this assay a high curve 0-200 ppm glucose and a low curve 0-35 ppm glucose. (Lever, M., Colorimetric and fluorometric carbohydrate determination with p-hydroxybenzoic acid hydrazide. Biochemical Medicine, 1973. 7(2): p. 274-281.;Fursova, O., G. Pogorelko, and O.A. Zabotina, An efficient method for transient gene expression in monocots applied to modify the Brachypodium distachyon cell wall. Annals of botany, 2012: p. mcs103.)"
TOC/TN,"The K2SO4 extracts from chloroform fumigated and unfumigated samples were analyzed for dissolved organic C (DOC, using the N-POC method)) and total dissolved nitrogen (TDN) using a Shimadzu total organic C (TOC-VCPN) analyzer with a total nitrogen (TN) analyzer (Shimadzu Scientific Instruments Inc., Columbia, MD, USA). DOC and TDN concentrations in the unfumigated K2SO4 extracts were subtracted from the fumigated extracts, yielding an estimate of extractable microbial biomass C and N. Three chloroform fumigated and extracted blanks were used to account for any possible C or N contamination. Extractable microbial biomass is expressed as ?g (C or N) g dry soil-1 and is not corrected for extraction efficiency, which has not been determined in these soils. (Brookes, P.C., et al., Chloroform fumigation and the release of soil nitrogen: A rapid direct extraction method to measure microbial biomass nitrogen in soil. Soil Biology and Biochemistry, 1985. 17(6): p. 837-842.)"
