Date,Site,Treatment,Plot #,Purpose,Purpose2,Nitrate,Ammonium,Phosphate,,,Matrix,Notes,Cat-L,Cat-W,An-L,An-W,Cation Area,Anion area
6/6/2017,Hydric,Snowfence,3,over winter,OW,0.000919243,0.018548093,0.000487137,9/6/2016,273,2M KCl,,,,,,,
6/6/2017,Hydric,Snowfence,4,over winter,OW,0.001598683,0.023745294,0.001544445,9/6/2016,273,2M KCl,,,,,,,
6/6/2017,Hydric,Snowfence,5,over winter,OW,0.001558716,0.013288651,0.002751216,9/6/2016,273,2M KCl,,,,,,,
6/6/2017,Hydric,Snowfence,6,over winter,OW,0.001159045,0.021535706,0.001195699,9/6/2016,273,2M KCl,,,,,,,
6/6/2017,Hydric,Snowfence,7,over winter,OW,0.000559539,0.02555031,0.000680884,9/6/2016,273,2M KCl,,,,,,,
6/6/2017,Hydric,Snowfence,8,over winter,OW,0.000799341,0.018859303,0.00214783,9/6/2016,273,2M KCl,,,,,,,
6/6/2017,Hydric,Control,1,over winter,OW,0.001039144,0.02489677,0.000669813,9/6/2016,273,2M KCl,,,,,,,
6/6/2017,Hydric,Control,2,over winter,OW,0.001838485,0.018205763,0,9/6/2016,273,2M KCl,,,,,,,
6/6/2017,Hydric,Control,3,over winter,OW,0.000559539,0.024710044,0.000824811,9/6/2016,273,2M KCl,,,,,,,
6/6/2017,Hydric,Control,4,over winter,OW,0.000359704,0.024803407,0.000891239,9/6/2016,273,2M KCl,,,,,,,
6/6/2017,Hydric,Control,5,over winter,OW,0.008912657,0.022344851,0.000691956,9/6/2016,273,2M KCl,,,,,,,
6/6/2017,Hydric,Control,6,over winter,OW,0.002437991,0.016120658,0.002341578,9/6/2016,273,2M KCl,,,,,,,
6/6/2017,Hydric,Control,7,over winter,OW,0.000599506,0.019979658,0.003066748,9/6/2016,273,2M KCl,,,,,,,
6/6/2017,Hydric,Control,8,over winter,OW,0.000479605,0.020602077,0.000608921,9/6/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Snowfence,1,over winter,OW,0.000559539,0.022936149,0.019936062,9/11/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Snowfence,2,over winter,OW,0.000519572,0.020913287,0.00406314,9/11/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Snowfence,3,over winter,OW,0.000399671,0.023496326,0.001118389,9/11/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Snowfence,4,over winter,OW,0.000359704,0.021753553,0.020526038,9/11/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Snowfence,5,over winter,OW,0.000119901,0.033143825,0.003970796,9/11/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Snowfence,6,over winter,OW,0.000359704,0.020726561,0.007720992,9/11/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Snowfence,7,over winter,OW,0.020583041,0.018952666,0.005561166,9/11/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Snowfence,8,over winter,OW,0.000359704,0.023465205,0.009075372,9/11/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Control,1,over winter,OW,0.000999177,0.023153996,0.005237962,9/11/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Control,2,over winter,OW,0.001039144,0.018921545,0.015123909,9/11/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Control,3,over winter,OW,0.002957563,0.026172729,0.013287288,9/11/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Control,4,over winter,OW,0.000839308,0.024959012,0.007880029,9/11/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Control,5,over winter,OW,0.000199835,0.024678923,0.014113254,9/11/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Control,6,over winter,OW,0.000399671,0.025519189,0.013595102,9/11/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Control,7,over winter,OW,0.001199012,0.037967574,0.009993682,9/11/2016,273,2M KCl,,,,,,,
6/11/2017,Mesic,Control,8,over winter,OW,0.000479605,0.022375972,0.002046961,9/11/2016,273,2M KCl,,,,,,,
5/31/2018,Mesic,fertilizedilized,1,over winter,OW-GS,0.000700151,0.009881372,0.002300848,,348,2M KCl,,2,5.4,1.7,6,10.8,10.2
5/31/2018,Mesic,fertilizedilized,2,over winter,OW-GS,0.000613038,0.010226405,0.002315077,,348,2M KCl,,2,5.5,1.8,6,11,10.8
5/31/2018,Mesic,fertilizedilized,3,over winter,OW-GS,0.000812103,0.01342179,0.003543654,,348,2M KCl,,2.3,5.4,2,6,12.42,12
5/31/2018,Mesic,fertilizedilized,4,over winter,OW-GS,0.006967964,,0,,348,2M KCl,,2.2,5.8,2,6,12.76,12
5/31/2018,Mesic,fertilizedilized,5,over winter,OW-GS,0.002527128,0.010258052,0.00285349,,348,2M KCl,,2.1,5.7,1.8,6.1,11.97,10.98
5/31/2018,Mesic,Ancillary,1,over winter,OW-GS,2.19E-05,0.004451956,0.002282018,,348,2M KCl,,2.2,5.5,1.7,6,12.1,10.2
5/31/2018,Mesic,Ancillary,2,over winter,OW-GS,2.76E-05,0.007038347,2.79E-05,,348,2M KCl,,2,5.7,1.8,6,11.4,10.8
5/31/2018,Mesic,Ancillary,3,over winter,OW-GS,8.27E-05,0.005864236,0.004199214,,348,2M KCl,,2,5.5,1.8,6,11,10.8
5/31/2018,Mesic,Ancillary,4,over winter,OW-GS,0,0.006494229,0.001503324,,348,2M KCl,,2.1,5.9,1.8,6,12.39,10.8
5/31/2018,Mesic,Ancillary,5,over winter,OW-GS,0.000278967,0.005268234,0.000553047,,348,2M KCl,,2,5.8,2,6,11.6,12
5/31/2018,Mesic,Ancillary,6,over winter,OW-GS,0.000108893,0.0078623,0.006502444,,348,2M KCl,,2,5.7,2.2,5.9,11.4,12.98
5/31/2018,Mesic,Ancillary,7,over winter,OW-GS,0,0.006362399,0.002496535,,348,2M KCl,,2.2,5.7,1.7,6,12.54,10.2
5/31/2018,Mesic,Ancillary,8,over winter,OW-GS,0.000528568,0.005220275,0.002458185,,348,2M KCl,,2.2,5.4,1.9,6,11.88,11.4
5/31/2018,Mesic,Snowfence,1,over winter,OW-GS,8.04E-05,0.006526746,0.006914583,,354,2M KCl,,2,6,2,5,12,10
5/31/2018,Mesic,Snowfence,2,over winter,OW-GS,1.46E-05,0.005174873,0.000548328,,354,2M KCl,,2.2,6,2,5,13.2,10
5/31/2018,Mesic,Snowfence,3,over winter,OW-GS,0,0.003507508,0.005758313,,354,2M KCl,,2.4,6,1.8,6,14.4,10.8
5/31/2018,Mesic,Snowfence,4,over winter,OW-GS,0,0.004393622,0.002581289,,354,2M KCl,,2.3,6,1.8,6,13.8,10.8
5/31/2018,Mesic,Snowfence,5,over winter,OW-GS,0.00012385,0.00421752,0.00143684,,354,2M KCl,,2.4,6.1,2,6.2,14.64,12.4
5/31/2018,Mesic,Snowfence,6,over winter,OW-GS,0.000203139,0.00515675,0.000128652,,354,2M KCl,,2.3,5.9,1.8,6,13.57,10.8
5/31/2018,Mesic,Snowfence,7,over winter,OW-GS,0.000587909,0.006198755,0.00028928,,354,2M KCl,,2.2,6.2,1.7,6,13.64,10.2
5/31/2018,Mesic,Snowfence,8,over winter,OW-GS,0.000652078,0.006085112,0.003741257,,354,2M KCl,,2.2,6,2,6,13.2,12
5/31/2018,Mesic,Control,1,over winter,OW-GS,0.00055579,0.005394005,0.006831978,,354,2M KCl,,2.2,5.7,2.5,5,12.54,12.5
5/31/2018,Mesic,Control,2,over winter,OW-GS,6.77E-06,0.004893447,0.009028496,,354,2M KCl,,2.3,6,1.8,6,13.8,10.8
5/31/2018,Mesic,Control,3,over winter,OW-GS,0,0.00595869,0.008100549,,354,2M KCl,,2.2,6,1.9,5.8,13.2,11.02
5/31/2018,Mesic,Control,4,over winter,OW-GS,5.77E-05,0.003982476,0.009285223,,354,2M KCl,,2.3,6,1.9,6,13.8,11.4
5/31/2018,Mesic,Control,5,over winter,OW-GS,0,0,0,,354,2M KCl,,2.1,6,1.6,6.5,12.6,10.4
5/31/2018,Mesic,Control,6,over winter,OW-GS,,,,,354,2M KCl,Both Missing,,,,,0,0
5/31/2018,Mesic,Control,7,over winter,OW-GS,0,0.0060217,0.000600074,,354,2M KCl,,2,6.3,1.9,6,12.6,11.4
5/31/2018,Mesic,Control,8,over winter,OW-GS,0.000423008,0.006631973,0.00660357,,354,2M KCl,,2.2,6.1,1.7,6,13.42,10.2
6/1/2018,Hydric,fertilizedilized,1,over winter,OW-GS,0.000947284,0.006240847,0.000957703,,350,2M KCl,,2.2,5.9,1.9,6,12.98,11.4
6/1/2018,Hydric,fertilizedilized,2,over winter,OW-GS,0.000184915,0.010433932,0.007487675,,350,2M KCl,,2.3,5.8,2,6,13.34,12
6/1/2018,Hydric,fertilizedilized,3,over winter,OW-GS,0.00036983,0.047237829,0.008963691,,350,2M KCl,,1.8,6,2.1,6,10.8,12.6
6/1/2018,Hydric,fertilizedilized,4,over winter,OW-GS,0,0.006075878,0.004441471,,350,2M KCl,,2.2,6,2.2,5.5,13.2,12.1
6/1/2018,Hydric,fertilizedilized,5,over winter,OW-GS,0.000452143,0.00775533,0.00136049,,350,2M KCl,,1.8,5.8,2.2,5.8,10.44,12.76
6/1/2018,Hydric,Ancillary,1,over winter,OW-GS,,,,,350,2M KCl,Both Missing,,,,,0,0
6/1/2018,Hydric,Ancillary,2,over winter,OW-GS,0.000757848,0.005158764,0,,350,2M KCl,,2.2,5.8,2,6.1,12.76,12.2
6/1/2018,Hydric,Ancillary,3,over winter,OW-GS,0,0.006327369,0,,350,2M KCl,,2.3,6,1.9,6,13.8,11.4
6/1/2018,Hydric,Ancillary,4,over winter,OW-GS,0,0.009400415,0.000404393,,350,2M KCl,,2.2,5.8,1.8,6.1,12.76,10.98
6/1/2018,Hydric,Ancillary,5,over winter,OW-GS,0.006643241,0.007373653,0,,350,2M KCl,,2.2,6,1.8,6,13.2,10.8
6/1/2018,Hydric,Ancillary,6,over winter,OW-GS,0.000273948,0.007150905,0.000980915,,350,2M KCl,,2.3,6,1.8,6,13.8,10.8
6/1/2018,Hydric,Ancillary,7,over winter,OW-GS,0,0.004637303,0.000274706,,350,2M KCl,,2.2,6,1.8,6,13.2,10.8
6/1/2018,Hydric,Ancillary,8,over winter,OW-GS,0.000172587,0.007952882,0.000377242,,350,2M KCl,,2,5.9,2,6,11.8,12
6/1/2018,Hydric,Snowfence,1,over winter,OW-GS,2.44E-05,0.006015115,0,,354,2M KCl,,2,5.9,2,6,11.8,12
6/1/2018,Hydric,Snowfence,2,over winter,OW-GS,0.000542382,0.004518032,0,,354,2M KCl,,2.2,6.1,2,6,13.42,12
6/1/2018,Hydric,Snowfence,3,over winter,OW-GS,6.09E-05,0.007008835,0.000446836,,354,2M KCl,,2,6,2.2,6,12,13.2
6/1/2018,Hydric,Snowfence,4,over winter,OW-GS,0.000144737,0.006944781,0,,354,2M KCl,,2.2,6,1.6,6,13.2,9.6
6/1/2018,Hydric,Snowfence,5,over winter,OW-GS,8.98E-05,0.007708129,7.01E-05,,354,2M KCl,,2.1,6,1.9,6,12.6,11.4
6/1/2018,Hydric,Snowfence,6,over winter,OW-GS,7.70E-05,0.007840571,0,,354,2M KCl,,2.1,6,1.9,6,12.6,11.4
6/1/2018,Hydric,Snowfence,7,over winter,OW-GS,0.00015212,0.005417457,7.05E-05,,354,2M KCl,,2.3,6,2.2,5.9,13.8,12.98
6/1/2018,Hydric,Snowfence,8,over winter,OW-GS,6.89E-06,0.006121599,0.00025772,,354,2M KCl,,2.3,6.1,1.8,5.9,14.03,10.62
6/1/2018,Hydric,Control,1,over winter,OW-GS,0.000258809,0.006219962,6.56E-05,,354,2M KCl,,2.2,6,1.9,5.8,13.2,11.02
6/1/2018,Hydric,Control,2,over winter,OW-GS,0.000725208,0.006410197,0,,354,2M KCl,,2.1,6,2,6,12.6,12
6/1/2018,Hydric,Control,3,over winter,OW-GS,0,0.005755228,0,,354,2M KCl,,2.3,5.9,1.9,5.9,13.57,11.21
6/1/2018,Hydric,Control,4,over winter,OW-GS,0.000115789,0.00711214,6.82E-05,,354,2M KCl,,2,5.6,2,6,11.2,12
6/1/2018,Hydric,Control,5,over winter,OW-GS,5.48E-05,0.005852716,0.00030482,,354,2M KCl,,2.2,6.1,2,6,13.42,12
6/1/2018,Hydric,Control,6,over winter,OW-GS,0,0.004820892,4.63E-05,,354,2M KCl,,2.2,6,1.9,5.6,13.2,10.64
6/1/2018,Hydric,Control,7,over winter,OW-GS,0.000163091,0.006074677,0,,354,2M KCl,,2.1,6,1.9,5.9,12.6,11.21
6/1/2018,Hydric,Control,8,over winter,OW-GS,0.000216067,0.005880428,0,,354,2M KCl,,2.1,6,2.2,6,12.6,13.2
6/2/2018,Xeric,fertilizedilized,1,over winter,OW-GS,0.000676312,0.006001065,0.010584465,,350,2M KCl,,2.2,5.8,1.8,5.8,12.76,10.44
6/2/2018,Xeric,fertilizedilized,2,over winter,OW-GS,0.000218597,0.005377266,0.009540092,,350,2M KCl,,2.2,6,1.9,6,13.2,11.4
6/2/2018,Xeric,fertilizedilized,3,over winter,OW-GS,9.31E-05,0.00718183,0.01003084,,350,2M KCl,,2.1,6,1.7,6.3,12.6,10.71
6/2/2018,Xeric,fertilizedilized,4,over winter,OW-GS,0.000130754,0.006517823,0.009018324,,350,2M KCl,,2.3,6.2,1.8,6,14.26,10.8
6/2/2018,Xeric,fertilizedilized,5,over winter,OW-GS,0,0.00620704,0.00717141,,350,2M KCl,,2.3,6,2,6,13.8,12
6/2/2018,Xeric,Ancillary,1,over winter,OW-GS,0.000874317,0.005828963,0,,350,2M KCl,,2.1,5.8,1.9,6.1,12.18,11.59
6/2/2018,Xeric,Ancillary,2,over winter,OW-GS,0.003594683,0.006772532,0,,350,2M KCl,,2.4,5.5,1.6,5.8,13.2,9.28
6/2/2018,Xeric,Ancillary,3,over winter,OW-GS,0.000184915,0.005251064,5.43E-05,,350,2M KCl,,2.2,5.8,1.8,6,12.76,10.8
6/2/2018,Xeric,Ancillary,4,over winter,OW-GS,0.01192359,0.005529137,0,,350,2M KCl,,2.3,5.8,1.8,6,13.34,10.8
6/2/2018,Xeric,Ancillary,5,over winter,OW-GS,0.001291469,0.00639334,0.000377396,,350,2M KCl,,2.3,5.5,1.8,6.3,12.65,11.34
6/2/2018,Xeric,Ancillary,6,over winter,OW-GS,0.00321889,0.006498599,0.000140207,,350,2M KCl,,2.3,6,1.8,6,13.8,10.8
6/2/2018,Xeric,Ancillary,7,over winter,OW-GS,0.000605936,0.006589403,0,,350,2M KCl,,2.3,5.8,1.8,5.9,13.34,10.62
6/2/2018,Xeric,Ancillary,8,over winter,OW-GS,0,0.005893143,0.001052774,,350,2M KCl,,2.3,6,1.7,6,13.8,10.2
6/2/2018,Xeric,Snowfence,1,over winter,OW-GS,0.001531336,0.005994521,0,,358,2M KCl,,2.1,6.4,2.1,5.8,13.44,12.18
6/2/2018,Xeric,Snowfence,2,over winter,OW-GS,1.42E-05,0.006861174,0.000483733,,358,2M KCl,,2.2,6.3,2.15,5.4,13.86,11.61
6/2/2018,Xeric,Snowfence,3,over winter,OW-GS,0.027521518,0.00802144,0,,358,2M KCl,,2.4,6.4,2,5.5,15.36,11
6/2/2018,Xeric,Snowfence,4,over winter,OW-GS,0.000949996,0.005975452,0.006581876,,358,2M KCl,,2.2,6.2,2,5.9,13.64,11.8
6/2/2018,Xeric,Snowfence,5,over winter,OW-GS,0.004161548,0.006644153,0,,358,2M KCl,,2.2,6.2,2,5.5,13.64,11
6/2/2018,Xeric,Snowfence,6,over winter,OW-GS,0.005397526,0.006303651,0,,358,2M KCl,,2.2,6.1,2,5.8,13.42,11.6
6/2/2018,Xeric,Snowfence,7,over winter,OW-GS,0.00043955,0.005580132,0,,358,2M KCl,Anion missing,2.3,6.2,,,14.26,0
6/2/2018,Xeric,Snowfence,8,over winter,OW-GS,0,0.006084565,0.000629089,,358,2M KCl,,2.2,6.2,2,5.1,13.64,10.2
6/2/2018,Xeric,Control,1,over winter,OW-GS,0,0.006333812,0.001403959,,358,2M KCl,,2.1,6.2,2,6,13.02,12
6/2/2018,Xeric,Control,2,over winter,OW-GS,0.000401739,0.007089425,6.44E-05,,358,2M KCl,,2.2,6.3,2.2,5.4,13.86,11.88
6/2/2018,Xeric,Control,3,over winter,OW-GS,0.007195489,0.006230135,0.002524335,,358,2M KCl,,2.2,6.2,2.1,6.1,13.64,12.81
6/2/2018,Xeric,Control,4,over winter,OW-GS,0.000313445,0.005954269,0,,358,2M KCl,,2.1,6.3,1.9,6,13.23,11.4
6/2/2018,Xeric,Control,5,over winter,OW-GS,0,0.005907038,2.23E-05,,358,2M KCl,,2.3,6.2,2.1,5.9,14.26,12.39
6/2/2018,Xeric,Control,6,over winter,OW-GS,9.67E-05,0.005557317,0,,358,2M KCl,,2,6.2,2.1,6,12.4,12.6
6/2/2018,Xeric,Control,7,over winter,OW-GS,0.000168022,0.006547561,0.000299041,,358,2M KCl,,2.1,6.1,2,5.8,12.81,11.6
6/2/2018,Xeric,Control,8,over winter,OW-GS,0.000955421,0.006487805,0,,358,2M KCl,,2.1,6.2,2,5.1,13.02,10.2
8/16/2018,Mesic,Snowfence,1,Growing season,GS,0.000858298,0.011542261,0.026243532,,77,2M KCl,,2,5.1,1.7,6,10.2,10.2
8/16/2018,Mesic,Snowfence,2,Growing season,GS,0.000531266,0.014748445,0.0032237,,77,2M KCl,,2.1,5.1,2.1,5.8,10.71,12.18
8/16/2018,Mesic,Snowfence,3,Growing season,GS,0.00081565,0.014161675,0.002452766,,77,2M KCl,,1.9,5.05,2.1,6,9.595,12.6
8/16/2018,Mesic,Snowfence,4,Growing season,GS,,,,,77,2M KCl,,,,,,0,0
8/16/2018,Mesic,Snowfence,5,Growing season,GS,3.81E-05,0.012048501,0.037341097,,77,2M KCl,,1.9,5.1,2,5,9.69,10
8/16/2018,Mesic,Snowfence,6,Growing season,GS,0,0.015305038,0.005899774,,77,2M KCl,,2,5,2.15,6.1,10,13.115
8/16/2018,Mesic,Snowfence,7,Growing season,GS,0,0.010965148,0.022170047,,77,2M KCl,,2,5.1,1.7,6.3,10.2,10.71
8/16/2018,Mesic,Snowfence,8,Growing season,GS,0.000729554,0.016910755,0.008865748,,77,2M KCl,,2.15,5.1,2,6,10.965,12
8/16/2018,Mesic,Control,1,Growing season,GS,0,0.014761804,0.012164592,,77,2M KCl,,2,5.4,2,6,10.8,12
8/16/2018,Mesic,Control,2,Growing season,GS,,,,,77,2M KCl,,,,,,0,0
8/16/2018,Mesic,Control,3,Growing season,GS,0,0.00874064,0.039566056,,77,2M KCl,,2.2,5,2.1,5.7,11,11.97
8/16/2018,Mesic,Control,4,Growing season,GS,,,,,77,2M KCl,,,,,,0,0
8/16/2018,Mesic,Control,5,Growing season,GS,0,0.015485867,0.010599868,,77,2M KCl,,2,5.1,2.1,6,10.2,12.6
8/16/2018,Mesic,Control,6,Growing season,GS,0,0.034681377,0.011939206,,77,2M KCl,,1.95,5.15,2,6,10.0425,12
8/16/2018,Mesic,Control,7,Growing season,GS,0.001374521,0.01794742,0.009537956,,77,2M KCl,,1.9,5.15,1.8,6,9.785,10.8
8/16/2018,Mesic,Control,8,Growing season,GS,,,,,77,2M KCl,,,,,,0,0
8/16/2018,Mesic,Ancillary,1,Growing season,GS,0.000985776,0.01243285,0.005159764,,77,2M KCl,,1.9,5.15,2.1,5.7,9.785,11.97
8/16/2018,Mesic,Ancillary,2,Growing season,GS,0,0.012050165,0.019490952,,77,2M KCl,,2.2,4.7,1.9,6,10.34,11.4
8/16/2018,Mesic,Ancillary,3,Growing season,GS,,,,,77,2M KCl,,,,,,0,0
8/16/2018,Mesic,Ancillary,4,Growing season,GS,0.000675266,0.013020176,0.003631732,,77,2M KCl,,2.2,5.6,2.1,5.1,12.32,10.71
8/16/2018,Mesic,Ancillary,5,Growing season,GS,0.000447808,0,0.058492117,,77,2M KCl,,2.6,5.9,2,5.1,15.34,10.2
8/16/2018,Mesic,Ancillary,6,Growing season,GS,0.000951592,0.01320701,0.00594695,,77,2M KCl,,2,5.2,1.6,6,10.4,9.6
8/16/2018,Mesic,Ancillary,7,Growing season,GS,0.000253758,0.016178588,0.00688849,,77,2M KCl,,2,5.2,2,6,10.4,12
8/16/2018,Mesic,Ancillary,8,Growing season,GS,0,0.018966458,0.006414581,,77,2M KCl,,1.9,5.2,2,5.6,9.88,11.2
8/16/2018,Mesic,fertilizedilized,1,Growing season,GS,,,,,77,2M KCl,,,,,,0,0
8/16/2018,Mesic,fertilizedilized,2,Growing season,GS,,,,,77,2M KCl,,,,,,0,0
8/16/2018,Mesic,fertilizedilized,3,Growing season,GS,,,,,77,2M KCl,,,,,,0,0
8/16/2018,Mesic,fertilizedilized,4,Growing season,GS,,,,,77,2M KCl,,,,,,0,0
8/16/2018,Mesic,fertilizedilized,5,Growing season,GS,,,,,77,2M KCl,,,,,,0,0
8/17/2018,Xeric,Snowfence,1,Growing season,GS,0,0.029866926,0.003247381,,76,2M KCl,,2,5.3,2.1,5.25,10.6,11.025
8/17/2018,Xeric,Snowfence,2,Growing season,GS,0,0.029273338,0.023393761,,76,2M KCl,,2,5,1.9,5,10,9.5
8/17/2018,Xeric,Snowfence,3,Growing season,GS,0.020039402,0.032018311,0.002999288,,76,2M KCl,,2,5.2,2,5.1,10.4,10.2
8/17/2018,Xeric,Snowfence,4,Growing season,GS,0.000396703,0.028017194,0.003119091,,76,2M KCl,,2,5.1,1.9,5.05,10.2,9.595
8/17/2018,Xeric,Snowfence,5,Growing season,GS,0.019106469,0.027621767,0.002553742,,76,2M KCl,,2,5.2,2,5.1,10.4,10.2
8/17/2018,Xeric,Snowfence,6,Growing season,GS,0.000522443,0.027676115,0.013290324,,76,2M KCl,,2,5.1,2,5.1,10.2,10.2
8/17/2018,Xeric,Snowfence,7,Growing season,GS,7.04E-05,0.023630974,0.004038118,,76,2M KCl,,2,5.3,2.1,5.15,10.6,10.815
8/17/2018,Xeric,Snowfence,8,Growing season,GS,0,0.023017024,0.007348152,,76,2M KCl,,2.1,5.1,2.1,5.1,10.71,10.71
8/17/2018,Xeric,Control,1,Growing season,GS,0.001044885,0.037730178,0.004944479,,76,2M KCl,,2.1,5.2,2,5.1,10.92,10.2
8/17/2018,Xeric,Control,2,Growing season,GS,0.00108181,0.030936782,0.004865436,,76,2M KCl,,1.9,5.2,1.9,5,9.88,9.5
8/17/2018,Xeric,Control,3,Growing season,GS,0.037649032,0.030517584,0.004201901,,76,2M KCl,,1.9,5.1,1.8,5.1,9.69,9.18
8/17/2018,Xeric,Control,4,Growing season,GS,0.000802674,0.035836363,0.003075562,,76,2M KCl,,1.9,5,1.7,5.3,9.5,9.01
8/17/2018,Xeric,Control,5,Growing season,GS,0.005560281,0.024389441,0.003520903,,76,2M KCl,,2.2,5.15,2,5.1,11.33,10.2
8/17/2018,Xeric,Control,6,Growing season,GS,0.003045093,0.027676115,0,,76,2M KCl,,2,5.1,1.8,5,10.2,9
8/17/2018,Xeric,Control,7,Growing season,GS,0.007575779,0.02461109,0.000610996,,76,2M KCl,,2,5.2,2,5.15,10.4,10.3
8/17/2018,Xeric,Control,8,Growing season,GS,0.000435013,0.019733849,0.000216789,,76,2M KCl,,2,5.1,2.1,5,10.2,10.5
8/17/2018,Xeric,Ancillary,1,Growing season,GS,0,0.038613128,0.000714995,,76,2M KCl,,2,5.2,2,5.15,10.4,10.3
8/17/2018,Xeric,Ancillary,2,Growing season,GS,0.000972738,0.026160307,0.000371942,,76,2M KCl,,2.2,5,1.8,5,11,9
8/17/2018,Xeric,Ancillary,3,Growing season,GS,0.000314251,0.025184552,0.001713466,,76,2M KCl,,2,5.2,1.9,5.1,10.4,9.69
8/17/2018,Xeric,Ancillary,4,Growing season,GS,0.003967421,0.037031421,0.001948377,,76,2M KCl,,2,5.1,1.9,5.1,10.2,9.69
8/17/2018,Xeric,Ancillary,5,Growing season,GS,0,0.034018006,0.000782183,,76,2M KCl,,2,5.15,2,5.05,10.3,10.1
8/17/2018,Xeric,Ancillary,6,Growing season,GS,0.013198548,0.02427657,0.003399296,,76,2M KCl,,2,5.2,1.9,5.1,10.4,9.69
8/17/2018,Xeric,Ancillary,7,Growing season,GS,0,0.025216244,0.002484428,,76,2M KCl,,1.9,5,1.8,5.15,9.5,9.27
8/17/2018,Xeric,Ancillary,8,Growing season,GS,0,0.027717344,0.002599982,,76,2M KCl,,1.9,5.2,1.9,5.15,9.88,9.785
8/17/2018,Xeric,fertilizedilized,1,Growing season,GS,,,,,76,2M KCl,,,,,,0,0
8/17/2018,Xeric,fertilizedilized,2,Growing season,GS,,,,,76,2M KCl,,,,,,0,0
8/17/2018,Xeric,fertilizedilized,3,Growing season,GS,,,,,76,2M KCl,,,,,,0,0
8/17/2018,Xeric,fertilizedilized,4,Growing season,GS,0,0.029770831,0.051392987,,76,2M KCl,,2,5.05,2.1,5.15,10.1,10.815
8/17/2018,Xeric,fertilizedilized,5,Growing season,GS,,,,,76,2M KCl,,,,,,0,0
8/18/2018,Hydric,Snowfence,1,Growing season,GS,0.001038275,0.023700657,0.003262557,,78,2M KCl,,2,5.2,2,5.2,10.4,10.4
