Date,Site,treatment,Plot,Depth,TOC.k2so4,TN.k2so4,TOC.fum,TN.fum,MBC,MBN,PO4.fum,NH4,NO3,PO4,TFPA,phenolics,TRS,Mic.PO4,Core.length,Core.mass,Homogenized.mass,Dry.weight,NH4.H2O,NO3.H2O,PO4.H2O,TFPA.H2O,TRS.H2O,Data.Type,Fill,Mass,Bubles.sediment,Time,Average.vacutainer.7.176g,Purpose,Purpose2,X,X.1,Matrix,Notes,Cat.L,Cat.W,An.L,An.W,Cation.Area,Anion.area,pH,X_decimal.degree,Y_decimal.degree,DBH..cm.,Height.m.
9/5/2021,Xeric,Snowfence,5,NA,400.483,104.344,2069.605,683.147,1669.122,578.802,26.7,57.43,25.668,12.121,506.188,0,4.158,14.579,,NA,NA,0.072,24.206,10.605,8.981,158.112,0.874,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Xeric,Snowfence,6,NA,398.988,16.394,2111.07,251.676,1712.081,235.282,2.417,57.958,9.458,12.496,497.033,0,0.936,0,,NA,NA,0.12,11.453,1.368,26.435,956.602,0.921,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Xeric,Snowfence,7,NA,288.647,50.23,1824.815,493.901,1536.167,443.671,99.126,49.193,26.094,6.402,280.238,12.779,1.42,92.724,,NA,NA,0.144,12.954,4.13,0.705,533.313,1.061,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Xeric,Snowfence,8,NA,792.101,41.406,2169.071,260.346,1376.97,218.94,11.846,54.708,27.998,10.031,677.157,14.604,1.24,1.815,,NA,NA,0.126,15.469,1.864,25.83,43.563,1.708,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Ancillary,1,NA,266.299,92.452,2423.792,546.173,2157.49,453.721,49.548,64.136,21.937,7.928,145.249,25.981,6.305,41.62,,NA,NA,0.11,15.301,20.362,14.398,114.132,1.04,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Ancillary,2,NA,473.208,0.761,2421.051,397.688,1947.84,396.927,64.58,42.385,40.288,15.665,1094.878,22.719,5.823,48.916,,NA,NA,0.157,3.206,4.119,20.241,62.574,2.216,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Ancillary,3,NA,167.992,14.921,1957.036,552.838,1789.04,537.916,50.849,71.158,13.716,12.081,782.682,0,10.142,38.769,,NA,NA,0.13,10.825,24.454,4.099,359.486,0.715,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Ancillary,4,NA,229.112,10.352,2439.519,314.741,2210.41,304.389,30.73,47.076,13.48,10.483,288.915,0,8.585,20.247,,NA,NA,0.106,33.126,12.235,34.677,801.655,4.107,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Ancillary,5,NA,1010.779,30.555,2431.117,600.535,1420.34,569.98,110.459,47.655,17.284,10.815,869.493,0,7.711,99.645,,NA,NA,0.144,16.296,18.319,26.99,357.021,4.843,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Ancillary,6,NA,515.105,2.108,2080.283,630.877,1565.18,628.77,72.702,43.125,28.573,15.654,330.717,0,6.893,57.048,,NA,NA,0.131,27.493,22.109,30.486,899.838,2.759,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Ancillary,7,NA,440.297,12.326,2286.411,701.428,1846.11,689.101,40.646,50.562,24.214,11.518,397.754,0,0.009,29.127,,NA,NA,0.141,6.642,3.702,49.836,740.092,2.232,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Ancillary,8,NA,886.749,47.214,2139.07,833.332,1252.32,786.118,12.815,64.357,42.451,12.461,375.529,30.137,8.417,0.354,,NA,NA,0.105,7.862,10.9,19.216,691.587,0.573,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Control,1,NA,431.818,36.147,2428.552,316.193,1996.73,280.046,82.765,40.252,13.253,6.029,668.04,28.351,3.734,76.736,,NA,NA,0.106,27.138,9.194,7.046,39.007,6.067,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Control,2,NA,220.306,67.438,2339.666,557.664,2119.36,490.226,11.163,41.551,17.341,8.136,1061.238,27.178,3.766,3.026,,NA,NA,0.143,33.049,19.07,28.617,725.458,2.184,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Control,3,NA,257.693,16.888,2217.549,644.437,1959.86,627.549,60.096,61.68,26.698,10.317,496.553,19.409,7.605,49.779,,NA,NA,0.111,27.268,17.538,31.732,326.661,0.867,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Control,4,NA,168.405,3.413,2371.053,792.839,2202.65,789.426,49.643,66.116,30.298,10.071,594.426,13.913,6.137,39.571,,NA,NA,0.132,39.115,0.341,19.609,377.318,2.83,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Control,5,NA,182.146,54.795,2339.049,977.44,2156.9,922.644,55.043,61.278,15.55,11.855,534.271,0,5.074,43.188,,NA,NA,0.101,30.95,3.833,22.948,666.615,1.414,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Control,6,NA,421.526,2.596,3204.658,805.577,2783.13,802.981,72.812,46.492,18.935,10.121,775.565,15.56,4.789,62.691,,NA,NA,0.083,35.448,21.585,16.777,202.807,2.822,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Control,7,NA,76.798,29.767,2898.44,258.395,2821.64,228.628,40.692,39.163,24.185,11.279,667.473,21.133,4.006,29.413,,NA,NA,0.121,33.967,17.106,3.446,412.006,0.757,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Control,8,NA,451.413,11.035,2237.541,692.122,1786.13,681.087,50.061,46.279,31.224,16.325,739.767,33.05,5.378,33.737,,NA,NA,0.129,18.953,19.333,25.391,630.078,3.796,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Snowfence,1,NA,406.338,34.423,2569.464,906.209,2163.13,871.786,19.184,62.619,23.131,12.732,8898.124,0,1.132,6.452,,NA,NA,0.091,3.125,8.74,21.084,154.647,1.154,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Snowfence,2,NA,543.99,41.095,2090.297,839.304,1546.31,798.209,37.861,55.518,16.607,5.502,712.206,15.61,4.888,32.359,,NA,NA,0.135,0.063,20.482,1.439,561.87,0.967,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Snowfence,3,NA,706.234,17.222,2249.01,602.211,1542.78,584.989,1.904,69.609,34.895,13.176,681.601,31.134,9.802,0,,NA,NA,0.133,14.206,8.65,33.573,100.576,0.515,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Snowfence,4,NA,65.481,17.581,2239.962,211.037,2174.48,193.456,0.553,59.989,34.225,10.362,409.827,25.86,13.347,0,,NA,NA,0.124,16.942,11.46,1.998,595.379,0.319,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Snowfence,5,NA,124.823,45.13,2273.143,612.628,2148.32,567.498,5.459,58.922,26.28,20.225,479.496,18.01,7.568,0,,NA,NA,0.114,4.435,21.251,15.016,509.742,2.21,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Snowfence,6,NA,297.128,44.731,2374.886,504.722,2077.76,459.991,76.992,59.391,14.168,15.421,639.734,30.651,5.553,61.571,,NA,NA,0.137,0.157,9.866,4.301,819.622,0.09,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Snowfence,7,NA,309.831,6.237,2242.116,713.306,1932.29,707.069,50.844,60.435,10.13,5.938,271.53,26.621,1.321,44.906,,NA,NA,0.115,2.044,26.76,27.134,1020.506,0.82,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Hydric,Snowfence,8,NA,322.312,12.88,2398.811,618.27,2076.5,605.389,47.204,64.433,26.787,12.96,898.729,20.684,9.818,34.244,,NA,NA,0.133,32.557,13.855,8.88,1266.177,1.473,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/7/2021,Xeric,Ancillary,1,NA,446.14,15.667,3622.618,777.64,3176.478,761.973,81.334,20.51,23.361,11.954,527.35,13.789,4.185,69.38,,NA,NA,0.214,51.386,17.574,9.226,518.822,3.556,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/7/2021,Xeric,Ancillary,2,NA,678.873,128.114,2284.449,835.43,1605.576,707.316,62.991,25.152,23.236,9.354,484.398,7.077,3.885,53.637,,NA,NA,0.219,35.219,28.96,11.108,496.394,3.911,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/7/2021,Xeric,Ancillary,3,NA,505.484,90.136,1941.511,645.963,1436.026,555.826,68.362,24.545,16.425,5.616,453.129,11.33,5.22,62.745,,NA,NA,0.231,54.338,18.175,18.387,486.127,3.447,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/7/2021,Xeric,Ancillary,4,NA,300.679,40.338,2979.296,460.61,2678.617,420.272,56.731,27.101,5.585,8.467,468.411,12.861,3.855,48.265,,NA,NA,0.191,54.288,24.283,10.43,572.165,4.135,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/7/2021,Xeric,Ancillary,5,NA,447.935,108.173,1731.307,464.613,1283.371,356.44,63.418,37.063,25.701,8.27,498.961,13.486,4.64,55.148,,NA,NA,0.181,46.407,30.778,9.676,529.936,3.682,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/7/2021,Xeric,Ancillary,6,NA,270.101,97.728,3094.478,645.914,2824.377,548.186,56.592,33.466,23.928,10.472,456.245,9.59,4.228,46.12,,NA,NA,0.134,39.821,28.802,11.197,552.107,4.881,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/7/2021,Xeric,Ancillary,7,NA,378.831,98.386,2474.455,474.72,2095.624,376.334,53.892,36.958,30.845,15.838,474.065,8.97,2.885,38.054,,NA,NA,0.199,35.372,27.653,12.076,518.073,3.862,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/7/2021,Xeric,Ancillary,8,NA,407.714,138.652,1846.442,601.54,1438.729,462.887,72.65,34.343,28.725,11.895,477.843,6.784,4.697,60.755,,NA,NA,0.214,59.835,25.776,13.731,419.913,4.275,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Xeric,Control,1,NA,331.235,1.916,2273.086,253.52,1941.85,251.604,31.687,47.206,15.902,13.3,513.789,0,8.374,18.386,,NA,NA,0.123,32.307,3.98,7.9,93.954,0.905,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2021,Xeric,Control,2,NA,758.878,48.358,2284.403,325.014,1525.52,276.656,88.99,74.285,12.752,7.448,1344.336,11.2,7.593,81.541,,NA,NA,0.113,13.603,10.41,39.211,154.473,0.544,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
